,"This is a citation overview for a set of 663 documents.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 51 (Of the 663 documents considered for the h-index, 51 have been cited at least 51 times.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,<2008,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Subtotal,>2026,Total
Publication Year,Document Title,ISSN,Journal Title,Volume,Issue,0,2,2,5,15,21,57,80,141,247,398,551,714,936,1083,1386,1522,1766,1978,1264,12168,1,12169
2026,"Strategic coordination in the halal economy: a cross-regional study of seven Muslim-minority emerging markets",17468809,"International Journal of Emerging Markets","21","9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2026,"Issues in the application of HPSM by Islamic banks in Bangladesh",17554179,"Qualitative Research in Financial Markets","18","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2026,"Harmonizing the halal approach for food and beverage certification: case of Indonesia and Malaysia",26629283,"SN Social Sciences","6","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2
2026,"Is Default Risk Contagious? Evidence from Global Energy Leaders and Environmentally Conscious Energy Firms",09277099,"Computational Economics","67","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2025,"Esg Commitment and Bank’s Default Risk in Emerging and Developing Countries: Does Islamic Bank Matter?",13047582,"Akademik Gida","11","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
